Code Finance;ID Qualiac;ID WINATEL;Filiale ;Secteur;DR;
K336;NA;#N/A;Keolis Bordeaux Métropole;Grands Réseaux;Grands Réseaux;#N/A
K337;3307;#N/A;Keolis Bordeaux;Grands Réseaux;Grands Réseaux;KEOLIS BORDEAUX
K358;3508;#N/A;Keolis Rennes;Grands Réseaux;Grands Réseaux;KEOLIS RENNES
K597;NA;#N/A;Keolis Lille ;Grands Réseaux;Grands Réseaux;#N/A
K696;NA;#N/A;Keolis Givors;Grands Réseaux;Grands Réseaux;#N/A
K697;6907;#N/A;Keolis Lyon;Grands Réseaux;Grands Réseaux;KEOLIS LYON
K135;1305;#N/A;Keolis Pays d’Aix;Grands Urbains;Grands Urbains;KEOLIS PAYS D'AIX
K147;1407;#N/A;Keolis Caen;Grands Urbains;Grands Urbains;KEOLIS CAEN
K217;2107;#N/A;Keolis Dijon;Grands Urbains;Grands Urbains;KEOLIS DIJON
K218;NA;#N/A;Keolis Dijon Mobilités;Grands Urbains;Grands Urbains;#N/A
K256;2506;#N/A;Keolis Pays de Montbéliard;Grands Urbains;Grands Urbains;KEO PAYS MONTBELIARD
K257;2507;#N/A;Keolis Besançon;Grands Urbains;Grands Urbains;KEOLIS BESANCON
K297;2907;#N/A;Keolis Brest;Grands Urbains;Grands Urbains;KEOLIS BREST
K308;3008;#N/A;Keolis Nîmes;Grands Urbains;Grands Urbains;STE TPTS COM NIMOIS
K377;3707;#N/A;Keolis Tours;Grands Urbains;Grands Urbains;KEOLIS TOURS
K458;4508;#N/A;Keolis Orléans;Grands Urbains;Grands Urbains;KEOLIS ORLEANS
K497;4907;#N/A;Keolis Angers;Grands Urbains;Grands Urbains;KEOLIS ANGERS
K567;5607;#N/A;Keolis Lorient;Grands Urbains;Grands Urbains;KEOLIS LORIENT
K571;5701;#N/A;Transports de l'agglomération de Metz Métropole;Grands Urbains;Grands Urbains;TAMM
K6202;6202;#N/A;Keolis Artois;Grands Urbains;Grands Urbains;KEOLIS ARTOIS
K647;6407;647;Keolis Côte Basque - Adour;Grands Urbains;Grands Urbains;KEOLIS CÔTE BASQUE ADOUR
K807;8007;#N/A;Keolis Amiens;Grands Urbains;Grands Urbains;AMETIS KEOLIS AMIENS
KAT105;AT105;#N/A;AT Le Mans;Grands Urbains;Grands Urbains;AT LE MANS
KAT117;AT117;#N/A;AT Pau;Grands Urbains;Grands Urbains;AT PAU
KAT128;NA;#N/A;AT METZ;Grands Urbains;Grands Urbains;#N/A
KAT130;NA;#N/A;Keolis AT Strasbourg;Grands Urbains;Grands Urbains;#N/A
K6206;K6206;#N/A;Voyages Fouache SAS;Pas de Calais Val de Somme;DR Nord Est;VOYAGES A. FOUACHE
K6209;NA;#N/A;Fouache Evasion;Pas de Calais Val de Somme;DR Nord Est;#N/A
K624;6204;#N/A;Entreprise Charles Caron;Pas de Calais Val de Somme;DR Nord Est;ENT CHARLES CARON
K625;6205;#N/A;Voyages Dourlens;Pas de Calais Val de Somme;DR Nord Est;VOYAGES DOURLENS
K628;6208;#N/A;S.T.2.L. Westeel;Pas de Calais Val de Somme;DR Nord Est;ST2L WESTELL
